223.184.16.243,98.124.156.54,2002,69.624087000,55.4330,1 objects with urls like: http://www9.effectivemeasure.net/img.gif	74.023856...
223.184.16.243,98.124.156.54,356,69.809541000,27.6545,0 objects
223.184.16.243,98.124.156.54,356,69.816558000,27.6474,0 objects
223.184.16.243,98.124.156.54,356,69.817595000,27.6463,0 objects
223.184.16.243,125.252.226.155,2632,75.335043000,47.6703,0 objects
223.184.16.243,125.252.226.152,2094,75.497559000,38.4076,0 objects
223.184.16.243,23.35.34.127,380,75.905311000,45.0784,0 objects
223.184.16.243,125.252.226.152,380,75.954677000,45.1091,0 objects
223.184.16.243,96.17.182.9,380,75.974770000,45.0891,0 objects
223.184.16.243,118.215.159.139,380,76.048275000,45.0956,0 objects
223.184.16.243,31.13.79.1,380,76.073286000,45.0705,0 objects
223.184.16.243,125.252.226.152,380,77.308242000,45.1156,0 objects
223.184.16.243,118.215.159.139,380,77.308413000,45.1155,0 objects
223.184.16.243,74.125.128.188,4853,82.325987000,49.8988,0 objects
223.184.16.243,23.35.34.127,228,116.164780000,9.0190,0 objects
223.184.16.243,125.252.226.152,228,116.210032000,9.0137,0 objects
223.184.16.243,125.252.226.152,228,116.210472000,9.0134,0 objects
223.184.16.243,96.17.182.9,228,116.238149000,9.0256,0 objects
223.184.16.243,118.215.159.139,228,116.325290000,9.0185,0 objects
223.184.16.243,118.215.159.139,228,116.325690000,9.0182,0 objects
223.184.16.243,31.13.79.1,228,116.349799000,9.0139,0 objects
223.184.16.243,31.13.79.1,228,116.864891000,9.0189,0 objects
223.184.16.243,31.13.79.1,228,117.115486000,9.0283,0 objects
