223.188.204.169,184.50.106.239,7743,70.707665000,3.7090,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc7/...
223.188.204.169,184.50.106.239,6986,70.708654000,3.7079,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,8764,70.709722000,5.4684,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,8670,70.711433000,3.7050,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,3400,70.711844000,3.7045,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,7596,70.713395000,5.4864,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,7324,70.714251000,3.7023,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,3879,70.714865000,3.7015,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,8394,70.716651000,5.4457,2 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc7/...
223.188.204.169,31.13.79.24,18957,76.043061000,4.4337,1 objects with url like http://m.facebook.com/home.php?_rdr&__m_async_page...
223.188.204.169,31.13.79.24,492,76.091125000,2.2968,No objects fetched
223.188.204.169,31.13.79.24,22930,82.990882000,8.5252,1 objects with url like http://m.facebook.com/ai.php?aed=AQLk8lYkKx3Kv2Dsz...
223.188.204.169,122.160.242.154,4189,86.203447000,2.4528,1 objects with url like http://profile.ak.fbcdn.net/hprofile-ak-snc6/s86x8...
223.188.204.169,96.17.182.42,1669,86.225277000,2.4171,1 objects with url like http://static.ak.fbcdn.net/rsrc.php/v2/yA/r/saFg5U...
223.188.204.169,69.171.248.16,1405,88.147532000,0.8229,1 objects with url like http://ect.channel.facebook.com/pull?channel=p_100...
223.188.204.169,69.171.248.16,424,88.397511000,3.3089,No objects fetched
223.188.204.169,184.50.106.239,31029,88.657112000,4.4295,1 objects with url like http://m.ak.fbcdn.net/photos-b.ak/hphotos-ak-snc7/...
223.188.204.169,184.50.106.239,24966,88.760892000,4.3261,1 objects with url like http://m.ak.fbcdn.net/photos-h.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,33218,88.766785000,4.3203,1 objects with url like http://m.ak.fbcdn.net/photos-e.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,3494,88.768460000,3.3629,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,3782,88.769056000,3.3625,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,184.50.106.239,4467,88.769636000,3.3705,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-ash4/...
223.188.204.169,184.50.106.239,134306,88.769939000,8.3685,2 objects with url like http://m.ak.fbcdn.net/photos-h.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,98545,88.770282000,4.3165,1 objects with url like http://m.ak.fbcdn.net/photos-f.ak/hphotos-ak-snc7/...
223.188.204.169,184.50.106.239,4231,88.770610000,3.3609,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-prn1/...
223.188.204.169,184.50.106.239,55267,88.770946000,4.3165,1 objects with url like http://m.ak.fbcdn.net/photos-a.ak/hphotos-ak-prn1/...
223.188.204.169,184.50.106.239,37683,88.771264000,4.3160,1 objects with url like http://m.ak.fbcdn.net/photos-c.ak/hphotos-ak-prn1/...
223.188.204.169,184.50.106.239,424,88.840287000,2.7480,No objects fetched
223.188.204.169,31.13.79.24,6702,91.824018000,3.6975,1 objects with url like http://m.facebook.com/photo.php?fbid=3785589155624...
223.188.204.169,31.13.79.24,492,92.075776000,3.4209,No objects fetched
223.188.204.169,184.50.106.239,50152,92.814729000,4.3415,1 objects with url like http://m.ak.fbcdn.net/photos-d.ak/hphotos-ak-ash3/...
223.188.204.169,184.50.106.239,3785,92.815307000,4.3310,1 objects with url like http://m.ak.fbcdn.net/profile.ak/hprofile-ak-snc6/...
223.188.204.169,31.13.79.24,3709,96.678342000,4.6819,1 objects with url like http://m.facebook.com/ai.php?aed=AQLk8lYkKx3Kv2Dsz...
223.188.204.169,31.13.79.24,492,96.930595000,2.4157,No objects fetched
