0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
28,106.211.78.227,96.17.182.43,3183,25.378898000,0.6483,2,"'http://b.scorecardresearch.com/beacon.js'::25.378898000, 'http://b.scorecardresearch.com/b?c1=2&c2=6036484&ns__t=1365678977989&ns_c=UTF-8&c8=The%20Times%20of%20India%3A%20Latest%20News%20India%2C%20World%20%26%20Business%20News%2C%20Cricket%20%26%20Sports%2C%20Bollywood&c7=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&c9='::25.981439000"
29,106.211.78.227,96.17.182.57,424,25.684508000,5.8255,0,
30,106.211.78.227,96.17.182.65,424,25.742490000,5.7673,0,
31,106.211.78.227,74.125.135.95,424,25.746754000,5.8846,0,
32,106.211.78.227,223.165.31.15,416,25.755208000,5.7955,0,
33,106.211.78.227,223.165.31.15,416,25.760545000,5.7903,0,
34,106.211.78.227,74.125.135.95,368,25.762177000,5.8314,0,
35,106.211.78.227,96.17.182.73,424,25.763808000,5.7464,0,
36,106.211.78.227,96.17.182.66,424,25.765616000,5.7445,0,
37,106.211.78.227,223.165.31.12,929,25.766573000,0.0930,1,'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::25.766573000
38,106.211.78.227,173.194.36.90,424,25.780835000,5.7696,0,
39,106.211.78.227,74.125.236.25,492,25.810186000,5.7396,0,
40,106.211.78.227,223.165.31.12,929,25.860573000,0.1087,1,'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::25.860573000
41,106.211.78.227,223.165.31.12,9376,26.011950000,14.6589,5,"'http://netspiderads3.indiatimes.com/ads.dll/getjsonad?slotid=1556'::26.096066000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=1202'::30.093523000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=667'::31.142059000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=160'::32.444202000, 'http://netspiderads3.indiatimes.com/ads.dll/getad?slotid=679'::40.304985000"
42,106.211.78.227,173.194.36.90,25042,26.624037000,14.1452,2,"'http://partner.googleadservices.com/gampad/google_ads_gpt.js'::26.790533000, 'http://partner.googleadservices.com/gampad/google_ads_gpt.js'::40.242016000"
43,106.211.78.227,23.35.36.211,1072,27.890406000,0.5501,1,'http://cdn3.optimizely.com/js/geo.js'::28.160292000
44,106.211.78.227,23.21.95.104,1603,27.899398000,71.0787,1,"'http://83181943.log.optimizely.com/event?a=83181943&d=83181943&y=false&f=199635642,199635883&s173546250=none&s173135501=direct&s204421524=true&s173156618=ff&s173154410=true&n=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&u=oeu1365678979668r0.8932899075385354&t=1365678979691'::28.444277000"
