106.211.78.227,96.17.182.40,1655,72.804927000,0.1598,1 objects with urls like: http://timesofindia.indiatimes.com/photo/19492797....
106.211.78.227,223.165.30.26,580,72.841060000,5.7930,0 objects
106.211.78.227,115.112.206.17,580,72.841729000,5.7925,0 objects
106.211.78.227,223.165.26.120,572,72.842090000,6.0285,0 objects
106.211.78.227,23.35.34.127,4613,80.108767000,0.4215,1 objects with urls like: http://static.chartbeat.com/js/chartbeat.js	80.312...
106.211.78.227,96.17.182.66,1728,80.116115000,0.3042,1 objects with urls like: http://www.indiatimes.com/static_pages/indiatimes....
106.211.78.227,96.17.182.19,1714,80.118785000,0.3160,1 objects with urls like: http://www.speakingtree.in/cache/toi?feed=article&...
106.211.78.227,184.25.47.139,65132,80.131326000,0.6091,1 objects with urls like: http://connect.facebook.net/en_US/all.js	80.131326...
106.211.78.227,31.13.79.17,6639,80.137275000,0.6739,1 objects with urls like: http://www.facebook.com/plugins/like.php?app_id=11...
106.211.78.227,184.31.209.224,424,80.141958000,18.6588,0 objects
106.211.78.227,184.31.209.224,424,80.312976000,18.4879,0 objects
106.211.78.227,184.31.209.224,59312,80.347306000,2.2260,2 objects with urls like: http://platform.twitter.com/widgets.js	80.53160800...
106.211.78.227,23.35.34.127,492,80.464366000,18.2750,0 objects
106.211.78.227,184.31.209.224,424,80.515475000,18.2851,0 objects
106.211.78.227,96.17.182.65,9547,81.205704000,0.2843,1 objects with urls like: http://media.indiatimes.in/media/photogallery/2013...
106.211.78.227,96.17.182.19,2797,81.209611000,0.2813,1 objects with urls like: http://images.speakingtree.iimg.in/files/rsz/fit_s...
106.211.78.227,96.17.182.9,424,81.569426000,17.1696,0 objects
106.211.78.227,54.243.145.108,480,82.093511000,16.8945,0 objects
106.211.78.227,65.54.82.149,47791,82.102399000,16.7159,1 objects with urls like: http://ajax.aspnetcdn.com/ajax/jQuery/jquery-1.7.2...
106.211.78.227,96.17.182.66,1281,82.103036000,0.2574,1 objects with urls like: http://card.cricket.timesofindia.indiatimes.com/cr...
106.211.78.227,223.165.26.45,2974,82.112636000,16.6882,1 objects with urls like: http://crifeeds.timesofindia.indiatimes.com/GetCal...
106.211.78.227,96.17.182.67,24000,82.192952000,16.6075,2 objects with urls like: http://static.ak.facebook.com/connect/xd_arbiter.p...
106.211.78.227,184.25.34.110,12725,82.197337000,4.2822,0 objects
106.211.78.227,31.13.79.17,1650,82.198328000,0.4914,0 objects
106.211.78.227,54.243.47.172,480,82.293030000,16.6871,0 objects
106.211.78.227,184.25.34.110,1622,82.334441000,16.4258,0 objects
106.211.78.227,96.17.182.67,424,82.334961000,16.4041,0 objects
106.211.78.227,223.165.26.45,6338,82.335331000,17.4869,1 objects with urls like: http://crifeeds.timesofindia.indiatimes.com/GetCur...
106.211.78.227,65.54.82.149,560,82.335786000,16.4030,0 objects
106.211.78.227,65.54.82.150,560,82.387659000,16.4170,0 objects
106.211.78.227,184.73.248.106,1202,82.389262000,16.5871,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
106.211.78.227,223.165.26.45,736,82.390562000,21.1742,0 objects
106.211.78.227,96.17.182.16,424,98.370466000,6.0993,0 objects
106.211.78.227,184.31.3.206,43070,98.370850000,2.1099,1 objects with urls like: http://m-static.ak.fbcdn.net/rsrc.php/v2/yA/r/6pvT...
106.211.78.227,184.31.3.206,424,98.371207000,6.4111,0 objects
106.211.78.227,184.31.3.206,2110,98.371568000,1.0787,1 objects with urls like: http://m-static.ak.fbcdn.net/rsrc.php/v2/yh/r/1dQf...
106.211.78.227,184.31.3.206,424,98.371903000,6.3932,0 objects
106.211.78.227,184.73.248.106,1333,98.410739000,1.2204,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
106.211.78.227,184.31.3.206,424,98.526599000,6.2384,0 objects
106.211.78.227,184.31.3.206,424,98.526945000,6.2379,0 objects
106.211.78.227,184.31.3.206,424,98.527210000,6.2452,0 objects
106.211.78.227,184.31.3.206,424,98.559603000,6.2054,0 objects
106.211.78.227,54.243.47.172,492,98.620078000,2.2995,0 objects
106.211.78.227,54.243.47.172,492,98.803342000,2.1168,0 objects
106.211.78.227,96.17.182.16,424,98.804859000,5.6650,0 objects
106.211.78.227,23.35.33.224,1247,98.919523000,0.4504,1 objects with urls like: http://p.twitter.com/f.gif?_=1365679033622&id=twit...
106.211.78.227,184.73.194.227,424,99.123694000,2.1714,0 objects
106.211.78.227,54.251.44.204,292,104.213859000,0.2368,0 objects
106.211.78.227,96.17.182.66,424,113.681142000,8.7341,0 objects
106.211.78.227,54.243.47.172,640,114.430961000,4.8543,0 objects
106.211.78.227,184.73.194.227,1516,114.582099000,1.6928,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
106.211.78.227,96.17.182.65,424,115.467393000,6.9477,0 objects
106.211.78.227,184.73.175.201,708,115.525628000,3.7601,0 objects
106.211.78.227,174.129.219.231,708,115.789437000,3.4962,0 objects
106.211.78.227,184.173.179.34,76,125.604662000,0.0000,0 objects
