27.60.129.157,54.240.166.122,9452,125.315052000,6.7683,No objects fetched
27.60.129.157,54.240.166.122,4584,125.316743000,6.7628,No objects fetched
27.60.129.157,54.240.166.122,6598,125.320402000,6.7597,No objects fetched
27.60.129.157,54.240.166.122,3296,125.322442000,4.7846,No objects fetched
27.60.129.157,23.21.52.169,2005,125.323064000,4.8553,No objects fetched
27.60.129.157,54.240.166.122,1838,125.323990000,4.7883,No objects fetched
27.60.129.157,54.240.166.122,4731,125.324794000,4.7893,No objects fetched
27.60.129.157,54.240.166.122,5046,125.325442000,4.7877,No objects fetched
27.60.129.157,54.240.172.209,3931,125.334294000,4.7695,No objects fetched
27.60.129.157,54.240.166.122,1828,125.343056000,4.7650,No objects fetched
27.60.129.157,54.240.166.122,3583,125.346914000,4.7695,No objects fetched
27.60.129.157,54.240.172.209,424,125.366719000,2.6870,No objects fetched
27.60.129.157,23.21.52.169,424,125.368406000,4.8110,No objects fetched
27.60.129.157,66.235.133.62,2001,125.437755000,4.7294,No objects fetched
27.60.129.157,66.235.133.62,496,125.625694000,4.5322,No objects fetched
27.60.129.157,74.125.236.22,1678,159.934016000,2.5695,No objects fetched
27.60.129.157,74.125.236.22,2819,160.364188000,4.0737,No objects fetched
27.60.129.157,74.125.135.84,8255,160.991657000,20.8830,No objects fetched
27.60.129.157,74.125.236.22,43153,161.866142000,20.0085,No objects fetched
27.60.129.157,74.125.236.16,7516,166.532172000,0.6536,No objects fetched
27.60.129.157,74.125.236.16,6096,168.027369000,13.8376,No objects fetched
27.60.129.157,74.125.236.16,424,168.278195000,2.2807,No objects fetched
27.60.129.157,107.20.164.39,1469,192.207387000,3.5758,No objects fetched
27.60.129.157,66.6.36.15,1221,214.707478000,1.2956,No objects fetched
27.60.129.157,66.6.36.9,1605,215.727731000,1.3916,No objects fetched
27.60.129.157,66.6.36.9,599,215.884045000,2.7621,No objects fetched
27.60.129.157,66.6.36.9,9885,216.746631000,2.9302,No objects fetched
27.60.129.157,66.6.36.9,424,217.000280000,2.8768,No objects fetched
27.60.129.157,68.232.44.63,59148,219.571035000,8.5285,No objects fetched
27.60.129.157,68.232.44.63,35128,219.580390000,7.5880,No objects fetched
27.60.129.157,68.232.44.63,52170,219.581693000,8.5160,No objects fetched
27.60.129.157,96.17.182.42,2441,219.598417000,0.6170,No objects fetched
27.60.129.157,68.232.44.63,26294,219.688167000,5.6490,No objects fetched
27.60.129.157,68.232.44.63,7349,219.693651000,8.3531,No objects fetched
27.60.129.157,74.125.236.30,580,220.906004000,4.4306,No objects fetched
27.60.129.157,74.125.236.30,24535,221.041327000,10.2642,No objects fetched
27.60.129.157,96.17.182.42,6128,223.576761000,5.5089,No objects fetched
27.60.129.157,96.17.182.42,580,223.828982000,3.5971,No objects fetched
27.60.129.157,203.190.124.23,6068,226.236042000,1.9590,No objects fetched
27.60.129.157,203.190.124.23,364,226.294752000,3.5221,No objects fetched
27.60.129.157,68.232.44.63,8209,227.935681000,3.3199,No objects fetched
27.60.129.157,74.125.128.95,5361,284.410649000,491.8990,No objects fetched
113.12.81.228,27.60.129.157,112,318.158037000,0.0009,No objects fetched
27.60.129.157,74.125.31.188,374,351.473919000,408.9317,No objects fetched
117.41.184.184,27.60.129.157,112,532.757115000,0.0006,No objects fetched
27.60.129.157,74.125.236.23,23335,760.309147000,119.6894,No objects fetched
27.60.129.157,107.20.164.39,2719,786.831095000,58.2863,No objects fetched
27.60.129.157,80.168.92.140,1693,803.335727000,3.6572,No objects fetched
27.60.129.157,96.17.182.48,2002,805.075064000,6.8722,No objects fetched
27.60.129.157,50.17.227.139,15041,806.449544000,11.3025,No objects fetched
27.60.129.157,54.240.166.210,7001,812.118208000,5.4218,No objects fetched
27.60.129.157,54.240.166.210,52199,812.118522000,5.3373,No objects fetched
27.60.129.157,54.240.166.178,8911,812.125952000,5.3287,No objects fetched
27.60.129.157,54.240.166.210,10382,812.309566000,5.2644,No objects fetched
27.60.129.157,54.240.166.178,6061,812.322474000,5.1311,No objects fetched
27.60.129.157,23.21.52.169,2002,812.354607000,5.4193,No objects fetched
27.60.129.157,54.240.166.210,8391,812.656058000,5.0039,No objects fetched
27.60.129.157,54.240.166.210,4815,812.657733000,4.9841,No objects fetched
27.60.129.157,54.240.166.210,18097,812.658394000,4.9595,No objects fetched
27.60.129.157,54.240.166.210,10004,812.690944000,4.9166,No objects fetched
27.60.129.157,54.240.166.210,6624,812.695262000,4.8845,No objects fetched
27.60.129.157,54.240.166.210,9429,812.696334000,4.9035,No objects fetched
27.60.129.157,54.240.166.210,4676,812.698643000,4.8775,No objects fetched
27.60.129.157,54.240.166.210,3296,812.701858000,4.7551,No objects fetched
27.60.129.157,54.240.166.210,5046,812.703091000,4.7808,No objects fetched
27.60.129.157,54.240.166.210,4731,812.705478000,4.7588,No objects fetched
27.60.129.157,54.240.166.210,1838,812.709501000,4.7525,No objects fetched
27.60.129.157,54.240.166.210,1828,812.712257000,4.7776,No objects fetched
27.60.129.157,54.240.166.210,2852,812.713141000,4.8065,No objects fetched
27.60.129.157,54.240.166.210,3268,812.715117000,4.8123,No objects fetched
27.60.129.157,54.240.166.210,3583,812.716548000,4.7815,No objects fetched
