27.60.1.124,96.17.182.9,568,42.233495000,10.4919,0 objects
27.60.1.124,96.17.182.9,568,42.468165000,6.6746,0 objects
27.60.1.124,96.17.182.65,16709,43.014782000,7.1343,2 objects with urls like: http://adscontent2.indiatimes.com/photo/19031243.c...
27.60.1.124,96.17.182.48,7688,43.041649000,50.3881,1 objects with urls like: http://in-cdn.effectivemeasure.net/em.js	46.843366...
27.60.1.124,96.17.182.48,792,43.200190000,9.5265,0 objects
27.60.1.124,96.17.182.48,792,43.277672000,9.4484,0 objects
27.60.1.124,96.17.182.48,792,43.453308000,9.2742,0 objects
27.60.1.124,173.194.36.113,4665,45.596640000,3.9706,0 objects
27.60.1.124,223.165.25.20,2570,47.009155000,46.4609,1 objects with urls like: http://netspiderads2.indiatimes.com/ads.dll/getad?...
27.60.1.124,223.165.25.20,416,47.271124000,7.3682,0 objects
27.60.1.124,223.165.25.20,416,47.585603000,7.1183,0 objects
27.60.1.124,223.165.25.20,416,47.838537000,6.8017,0 objects
27.60.1.124,96.17.182.57,6746,48.666677000,0.4825,2 objects with urls like: http://mytimes.indiatimes.com/image/thumb/1/540796...
27.60.1.124,96.17.182.57,3032,48.669642000,0.3956,1 objects with urls like: http://mytimes.indiatimes.com/image/thumb/19/11943...
27.60.1.124,96.17.182.57,4256,48.673491000,0.4160,1 objects with urls like: http://mytimes.indiatimes.com/image/thumb/5/543579...
27.60.1.124,96.17.182.57,2736,48.674642000,0.4241,1 objects with urls like: http://mytimes.indiatimes.com/image/thumb/0/defaul...
27.60.1.124,96.17.182.57,492,48.675968000,6.0140,0 objects
27.60.1.124,98.124.156.54,6729,48.678727000,38.3114,3 objects with urls like: http://www9.effectivemeasure.net/v4/em_js?flag=0&v...
27.60.1.124,98.124.156.54,1956,48.682756000,38.3271,1 objects with urls like: http://www9.effectivemeasure.net/v4/em_ck_img?hl=1...
27.60.1.124,96.17.182.57,424,48.683058000,6.0349,0 objects
27.60.1.124,96.17.182.57,424,48.915110000,5.7247,0 objects
27.60.1.124,98.124.156.54,424,48.918066000,5.9563,0 objects
27.60.1.124,98.124.156.54,1996,48.922409000,38.0876,1 objects with urls like: http://www9.effectivemeasure.net/img.gif	50.878432...
27.60.1.124,96.17.182.57,424,48.922707000,5.7873,0 objects
27.60.1.124,173.194.36.89,2909,49.006301000,46.0342,1 objects with urls like: http://pubads.g.doubleclick.net/gampad/ads?gdfp_re...
27.60.1.124,173.194.36.89,424,49.040955000,5.5655,0 objects
