110.225.91.4,31.13.79.1,7016,44.102566000,0.7380,1 objects with urls like: http://www.facebook.com/plugins/like.php?app_id=11...
110.225.91.4,68.232.44.139,1326,44.104282000,6.5565,1 objects with urls like: http://platform.twitter.com/widgets.js	44.31485500...
110.225.91.4,50.16.236.36,2354,44.841312000,2.6136,2 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
110.225.91.4,65.54.82.166,560,44.843295000,6.2497,0 objects
110.225.91.4,223.165.26.45,2948,44.861093000,1.8510,1 objects with urls like: http://crifeeds.timesofindia.indiatimes.com/GetCal...
110.225.91.4,96.17.182.66,3258,44.861316000,3.2610,2 objects with urls like: http://card.cricket.timesofindia.indiatimes.com/cr...
110.225.91.4,54.243.46.157,424,45.095147000,3.5175,0 objects
110.225.91.4,96.17.182.57,3885,45.765325000,1.3074,1 objects with urls like: http://static.rewards.indiatimes.com/fns/daily/dai...
110.225.91.4,96.17.182.57,580,46.542751000,5.4602,0 objects
110.225.91.4,184.29.227.206,616,46.660307000,8.0357,0 objects
110.225.91.4,184.29.227.206,616,46.694044000,7.9986,0 objects
110.225.91.4,184.29.227.206,640,47.227762000,7.3755,0 objects
110.225.91.4,184.29.227.206,716,47.228032000,7.3657,0 objects
110.225.91.4,96.17.182.73,4181,47.497755000,0.5556,1 objects with urls like: http://mytimes.indiatimes.com/image/thumb/4/628918...
110.225.91.4,96.17.182.73,580,47.497943000,5.3846,0 objects
110.225.91.4,96.17.182.73,580,47.498077000,5.3845,0 objects
110.225.91.4,96.17.182.73,424,47.498198000,5.3843,0 objects
110.225.91.4,96.17.182.73,580,47.498306000,5.3841,0 objects
110.225.91.4,23.35.33.224,1467,47.531639000,0.8005,1 objects with urls like: http://p.twitter.com/f.gif?_=1367323609612&id=twit...
110.225.91.4,23.35.33.224,424,47.572045000,7.0307,0 objects
110.225.91.4,23.35.33.224,424,48.317446000,6.2854,0 objects
110.225.91.4,23.35.33.224,628,48.317656000,6.2856,0 objects
110.225.91.4,96.17.182.66,1227,49.014851000,0.1380,1 objects with urls like: http://www.indiatimes.com/static_pages/indiatimes....
110.225.91.4,96.17.182.66,424,49.015499000,5.8288,0 objects
110.225.91.4,184.50.127.139,1632,49.025108000,46.7050,1 objects with urls like: http://connect.facebook.net/en_US/all.js	49.099135...
110.225.91.4,184.50.127.139,424,49.027489000,5.8448,0 objects
110.225.91.4,223.165.30.27,648,49.196423000,5.6964,0 objects
110.225.91.4,96.17.182.17,424,49.912685000,5.9898,0 objects
110.225.91.4,96.17.182.65,424,50.562691000,5.3096,0 objects
110.225.91.4,96.17.182.65,1621,57.256781000,1.1003,1 objects with urls like: http://timesofindia.indiatimes.com/breakingnews/br...
