30,223.188.105.168,96.17.181.67,32925,10.215181000,12.5075,2,"'http://economictimes.indiatimes.com/photo/18594323.cms'::13.410393000, 'http://economictimes.indiatimes.com/photo/18594323.cms'::13.976729000"
31,223.188.105.168,23.23.187.175,39081,12.653743000,11.4603,0,
32,223.188.105.168,23.23.187.175,10930,12.654529000,7.2199,0,
33,223.188.105.168,23.23.187.175,6046,12.655372000,7.1888,0,
34,223.188.105.168,96.17.181.59,2796,12.835890000,7.0786,1,'http://www.indiatimes.com/static_pages/indiatimes.json'::12.915025000
35,223.188.105.168,96.17.181.59,1060,12.870134000,7.0443,0,
36,223.188.105.168,96.17.181.48,9894,13.132692000,6.4016,1,'http://media.indiatimes.in/media/photogallery/2013/Feb/budget_1362048868_100x75.jpg'::13.244739000
37,223.188.105.168,23.23.187.175,29690,19.772608000,7.7204,0,
38,223.188.105.168,23.23.187.175,6813,19.774592000,7.7183,0,
39,223.188.105.168,23.23.187.175,5382,19.775049000,4.7391,0,
40,223.188.105.168,190.93.242.190,7097,20.068702000,7.0876,0,
41,223.188.105.168,190.93.242.190,8306,20.068870000,6.9355,0,
42,223.188.105.168,74.125.236.62,23179,20.368311000,13.5202,0,
43,223.188.105.168,96.17.181.48,3821,22.593489000,3.1045,1,'http://timesofindia.indiatimes.com/icons/toifavicon.ico'::22.712463000
44,223.188.105.168,54.240.168.50,14248,22.696836000,6.8974,0,
45,223.188.105.168,204.93.223.146,7697,24.225655000,6.4023,0,
46,223.188.105.168,204.93.223.146,564,24.379051000,3.7992,0,
47,223.188.105.168,96.17.181.48,5779,26.654185000,6.6711,2,"'http://timesofindia.indiatimes.com/thumb/6768600.cms?width=81&height=53'::27.722859000, 'http://timesofindia.indiatimes.com/photo/4761631.cms'::28.704365000"
48,223.188.105.168,96.17.181.48,12557,26.835603000,6.4974,2,"'http://timesofindia.indiatimes.com/thumb/18729020.cms?width=81&height=53'::27.730697000, 'http://timesofindia.indiatimes.com/photo/18726260.cms'::28.894784000"
49,223.188.105.168,96.17.181.48,7946,26.838844000,6.4866,2,"'http://timesofindia.indiatimes.com/thumb/18731610.cms?width=81&height=53'::27.745224000, 'http://timesofindia.indiatimes.com/photo/4764250.cms'::28.986337000"
